Score,Steps,Bombs_placed,Invalid_moves,Epsilon
8,126,10,11,0.01
2,260,4,7,0.01
6,301,4,5,0.01
5,94,10,4,0.01
9,400,4,2,0.01
0,51,3,4,0.01
5,170,9,3,0.01
2,364,6,5,0.01
1,41,5,2,0.01
0,74,1,4,0.01
1,33,3,1,0.01
0,22,3,3,0.01
3,241,6,3,0.01
2,148,5,1,0.01
9,258,7,6,0.01
2,397,4,5,0.01
2,105,8,4,0.01
9,340,10,5,0.01
2,333,7,5,0.01
1,75,3,2,0.01
3,138,5,0,0.01
0,16,2,1,0.01
5,206,7,4,0.01
4,281,18,17,0.01
3,145,9,8,0.01
1,19,2,2,0.01
3,126,5,3,0.01
6,200,13,2,0.01
