Score,Steps,Bombs_placed,Invalid_moves,Epsilon
10,32,2,8,0.32
11,50,2,5,0.3
16,54,2,3,0.27
5,19,1,0,0.27
29,91,3,2,0.24
49,147,6,9,0.21
49,178,6,8,0.18
49,187,5,10,0.15
49,168,4,2,0.13
49,150,2,2,0.12
1,5,1,1,0.12
49,161,1,5,0.11
23,58,3,1,0.11
49,153,2,2,0.1
49,145,0,6,0.09
50,154,3,5,0.09
22,58,3,2,0.08
27,83,2,2,0.08
49,168,1,6,0.07
49,153,2,5,0.07
49,152,1,4,0.06
49,156,2,1,0.06
49,147,0,0,0.06
49,161,1,4,0.06
49,128,1,2,0.06
49,140,2,1,0.05
49,143,1,1,0.05
49,148,3,1,0.05
49,163,2,1,0.05
49,136,1,0,0.05
49,143,0,3,0.05
49,141,1,1,0.04
49,136,0,2,0.04
49,152,1,0,0.04
18,51,1,1,0.04
49,132,1,2,0.04
49,123,1,0,0.04
49,147,0,1,0.04
49,123,2,0,0.04
36,80,1,1,0.03
49,137,0,1,0.03
49,137,0,1,0.03
49,124,0,0,0.03
49,127,0,0,0.03
49,157,3,1,0.03
49,119,1,1,0.03
49,116,1,0,0.03
49,136,0,0,0.03
49,129,0,1,0.03
49,122,0,1,0.03
43,98,1,0,0.03
49,128,1,0,0.03
49,142,0,0,0.03
49,137,2,2,0.03
49,141,0,0,0.03
49,118,0,1,0.03
49,129,1,1,0.03
50,141,1,1,0.03
49,134,0,1,0.03
49,129,0,0,0.03
49,136,1,0,0.02
49,131,0,1,0.02
49,124,0,0,0.02
49,122,0,0,0.02
49,120,1,1,0.02
49,149,0,1,0.02
49,131,1,0,0.02
49,127,0,0,0.02
49,117,0,2,0.02
49,118,0,0,0.02
49,126,0,1,0.02
49,145,0,2,0.02
49,152,1,2,0.02
49,124,0,0,0.02
49,140,0,0,0.02
49,122,0,1,0.02
49,123,0,2,0.02
49,130,0,0,0.02
49,138,1,0,0.02
49,138,0,0,0.02
49,135,0,2,0.02
49,125,0,2,0.02
