Score,Steps,Bombs_placed,Invalid_moves,Epsilon
2,184,13,12,0.01
2,46,3,7,0.01
2,104,8,9,0.01
4,190,15,9,0.01
9,214,21,5,0.01
3,75,7,1,0.01
2,110,11,7,0.01
3,176,14,13,0.01
1,74,6,3,0.01
6,400,36,24,0.01
4,152,14,9,0.01
3,100,11,4,0.01
1,80,7,8,0.01
1,42,5,5,0.01
2,299,27,23,0.01
9,227,15,14,0.01
3,102,11,12,0.01
3,400,37,14,0.01
0,222,11,19,0.01
1,40,4,4,0.01
3,400,34,10,0.01
0,9,1,3,0.01
4,287,25,9,0.01
3,400,17,14,0.01
6,375,30,16,0.01
2,62,5,0,0.01
2,177,8,6,0.01
6,192,13,12,0.01
0,88,7,12,0.01
0,9,1,2,0.01
1,267,15,6,0.01
1,45,6,6,0.01
3,186,12,6,0.01
2,47,5,5,0.01
3,400,33,10,0.01
5,400,24,27,0.01
1,51,5,2,0.01
0,7,1,0,0.01
2,217,12,3,0.01
0,48,6,4,0.01
0,112,4,5,0.01
1,37,4,1,0.01
0,98,9,8,0.01
1,59,5,4,0.01
3,81,7,2,0.01
3,203,13,8,0.01
2,170,11,14,0.01
1,134,12,9,0.01
3,146,13,11,0.01
2,54,6,5,0.01
0,110,9,6,0.01
8,226,11,7,0.01
1,80,7,9,0.01
1,400,32,23,0.01
5,201,12,9,0.01
2,138,12,8,0.01
2,229,17,8,0.01
1,142,9,5,0.01
9,123,8,6,0.01
2,41,4,2,0.01
0,131,11,13,0.01
2,400,38,18,0.01
0,99,9,11,0.01
4,117,6,6,0.01
4,400,27,13,0.01
3,108,11,6,0.01
1,96,7,6,0.01
8,400,36,18,0.01
1,41,5,2,0.01
3,400,31,12,0.01
3,46,5,4,0.01
0,232,8,15,0.01
3,93,8,6,0.01
6,138,13,6,0.01
0,78,3,8,0.01
1,34,3,2,0.01
12,400,32,13,0.01
6,119,6,6,0.01
11,377,20,12,0.01
4,201,16,8,0.01
4,180,11,10,0.01
4,244,10,10,0.01
4,109,9,2,0.01
10,345,32,9,0.01
6,119,11,11,0.01
3,59,4,3,0.01
1,272,13,11,0.01
5,111,6,0,0.01
2,400,31,12,0.01
2,166,9,5,0.01
0,400,32,18,0.01
2,207,17,12,0.01
0,72,1,1,0.01
6,249,14,11,0.01
1,73,7,5,0.01
2,66,8,2,0.01
0,275,16,11,0.01
2,400,31,22,0.01
1,158,9,2,0.01
0,45,5,4,0.01
0,85,3,4,0.01
2,301,11,10,0.01
0,92,0,1,0.01
5,400,34,13,0.01
3,134,9,8,0.01
0,400,33,29,0.01
4,170,12,9,0.01
1,123,14,12,0.01
5,266,16,10,0.01
1,99,9,10,0.01
6,400,45,22,0.01
3,400,40,23,0.01
10,362,30,17,0.01
0,90,9,10,0.01
4,111,8,2,0.01
5,400,31,13,0.01
3,289,21,9,0.01
3,262,17,11,0.01
3,199,18,6,0.01
0,33,1,3,0.01
5,339,19,10,0.01
0,71,6,1,0.01
2,160,9,9,0.01
3,274,12,7,0.01
4,342,24,8,0.01
1,112,8,6,0.01
3,217,16,11,0.01
7,339,25,11,0.01
2,99,9,6,0.01
3,75,5,5,0.01
3,125,9,12,0.01
1,172,7,10,0.01
3,256,15,3,0.01
2,212,13,13,0.01
3,213,13,12,0.01
2,141,10,4,0.01
0,94,5,8,0.01
5,147,8,5,0.01
2,210,12,6,0.01
3,142,8,2,0.01
3,67,6,2,0.01
